iter	Passed	Remaining
561	15910	12400
562	15939	12372
563	15966	12342
564	15995	12315
565	16022	12285
566	16049	12256
567	16075	12226
568	16106	12199
569	16135	12172
570	16166	12145
571	16194	12117
572	16221	12088
573	16248	12059
574	16278	12032
575	16310	12006
576	16339	11978
577	16365	11948
578	16393	11920
579	16422	11891
580	16453	11865
581	16485	11840
582	16512	11810
583	16537	11780
584	16564	11750
585	16592	11722
586	16623	11696
587	16653	11668
588	16683	11641
589	16714	11615
590	16742	11586
591	16773	11560
592	16803	11532
593	16831	11504
594	16857	11474
595	16884	11445
596	16912	11416
597	16941	11388
598	16976	11365
599	17002	11335
600	17027	11304
601	17056	11276
602	17080	11245
603	17112	11219
604	17138	11189
605	17166	11161
606	17193	11132
607	17220	11102
608	17246	11072
609	17271	11042
610	17296	11012
611	17326	10984
612	17351	10954
613	17380	10926
614	17407	10897
615	17440	10872
616	17469	10843
617	17501	10818
618	17535	10793
619	17568	10767
620	17598	10740
621	17624	10710
622	17653	10682
623	17681	10654
624	17709	10625
625	17739	10598
626	17765	10568
627	17795	10541
628	17823	10512
629	17858	10488
630	17884	10458
631	17911	10429
632	17937	10399
633	17966	10371
634	17998	10345
635	18026	10317
636	18057	10290
637	18084	10261
638	18110	10231
639	18136	10201
640	18163	10172
641	18191	10143
642	18218	10115
643	18243	10084
644	18270	10055
645	18296	10026
646	18324	9997
647	18353	9969
648	18379	9939
649	18412	9914
650	18440	9885
651	18473	9859
652	18501	9831
653	18530	9803
654	18562	9777
655	18593	9750
656	18620	9721
657	18660	9698
658	18686	9669
659	18715	9641
660	18745	9613
661	18773	9585
662	18801	9556
663	18827	9527
664	18857	9499
665	18884	9470
666	18911	9441
667	18937	9411
668	18966	9383
669	18993	9355
670	19024	9328
671	19053	9299
672	19082	9271
673	19111	9244
674	19140	9216
675	19165	9186
676	19199	9160
677	19226	9130
678	19251	9101
679	19277	9071
680	19306	9043
681	19332	9014
682	19364	8987
683	19391	8958
684	19424	8932
685	19454	8904
686	19479	8874
687	19505	8845
688	19531	8816
689	19559	8787
690	19588	8759
691	19615	8730
692	19644	8702
693	19675	8675
694	19703	8646
695	19731	8618
696	19760	8590
697	19788	8561
698	19816	8533
699	19842	8504
700	19869	8474
701	19897	8446
702	19927	8419
703	19953	8389
704	19982	8361
705	20011	8333
706	20042	8306
707	20068	8276
708	20093	8247
709	20122	8219
710	20149	8190
711	20173	8160
712	20200	8131
713	20227	8102
714	20253	8072
715	20280	8044
716	20308	8015
717	20337	7987
718	20366	7959
719	20396	7932
720	20423	7903
721	20453	7875
722	20482	7847
723	20511	7819
724	20542	7791
725	20574	7764
726	20605	7737
727	20633	7709
728	20662	7681
729	20691	7652
730	20720	7625
731	20747	7596
732	20779	7568
733	20813	7542
734	20840	7514
735	20870	7486
736	20900	7458
737	20932	7431
738	20961	7403
739	20988	7374
740	21016	7345
741	21048	7318
742	21075	7289
743	21112	7264
744	21143	7237
745	21173	7209
746	21198	7179
747	21226	7151
748	21254	7122
749	21282	7094
750	21310	7065
751	21341	7038
752	21368	7009
753	21394	6980
754	21421	6951
755	21451	6923
756	21477	6894
757	21507	6866
758	21534	6837
759	21566	6810
760	21597	6782
761	21630	6755
762	21662	6728
763	21687	6699
764	21716	6671
765	21744	6642
766	21773	6614
767	21802	6586
768	21828	6557
769	21855	6528
770	21885	6500
771	21917	6472
772	21945	6444
773	21975	6416
774	22004	6388
775	22034	6360
776	22066	6333
777	22099	6305
778	22130	6278
779	22155	6249
780	22182	6220
781	22212	6192
782	22241	6163
783	22267	6134
784	22294	6106
785	22324	6078
786	22350	6049
787	22378	6020
788	22409	5992
789	22438	5964
790	22465	5935
791	22493	5907
792	22519	5878
793	22556	5852
794	22582	5823
795	22607	5793
796	22633	5764
797	22659	5735
798	22691	5708
799	22718	5679
800	22744	5650
801	22771	5621
802	22797	5592
803	22826	5564
804	22857	5537
805	22885	5508
806	22914	5480
807	22941	5451
808	22968	5422
809	22999	5394
810	23031	5367
811	23062	5339
812	23089	5310
813	23120	5283
814	23149	5254
815	23178	5226
816	23206	5197
817	23232	5169
818	23258	5140
819	23284	5111
820	23314	5083
821	23342	5054
822	23372	5026
823	23400	4998
824	23433	4970
825	23466	4943
826	23493	4914
827	23521	4886
828	23550	4857
829	23578	4829
830	23605	4800
831	23632	4772
832	23658	4743
833	23687	4714
834	23716	4686
835	23742	4657
836	23767	4628
837	23796	4600
838	23824	4571
839	23852	4543
840	23889	4516
841	23915	4487
842	23944	4459
843	23971	4430
844	23997	4401
845	24024	4373
846	24052	4344
847	24079	4316
848	24106	4287
849	24136	4259
850	24173	4232
851	24200	4203
852	24236	4176
853	24264	4148
854	24291	4119
855	24321	4091
856	24351	4063
857	24381	4035
858	24409	4006
859	24436	3978
860	24463	3949
861	24490	3920
862	24517	3892
863	24553	3864
864	24580	3836
865	24614	3808
866	24642	3780
867	24667	3751
868	24694	3722
869	24723	3694
870	24751	3665
871	24777	3637
872	24803	3608
873	24830	3579
874	24857	3551
875	24884	3522
876	24910	3493
877	24937	3465
878	24963	3436
879	24990	3407
880	25016	3379
881	25043	3350
882	25074	3322
883	25100	3293
884	25127	3265
885	25151	3236
886	25178	3207
887	25205	3179
888	25232	3150
889	25261	3122
890	25289	3093
891	25315	3065
892	25343	3036
893	25369	3008
894	25396	2979
895	25422	2950
896	25449	2922
897	25478	2894
898	25507	2865
899	25536	2837
900	25567	2809
901	25596	2780
902	25622	2752
903	25650	2723
904	25676	2695
905	25707	2667
906	25735	2638
907	25772	2611
908	25797	2582
909	25823	2553
910	25853	2525
911	25880	2497
912	25912	2469
913	25941	2440
914	25967	2412
915	25995	2383
916	26022	2355
917	26049	2326
918	26075	2298
919	26102	2269
920	26131	2241
921	26166	2213
922	26193	2185
923	26225	2157
924	26257	2128
925	26284	2100
926	26320	2072
927	26347	2044
928	26377	2015
929	26405	1987
930	26436	1959
931	26465	1930
932	26493	1902
933	26526	1874
934	26556	1846
935	26582	1817
936	26626	1790
937	26651	1761
938	26675	1732
939	26700	1704
940	26726	1675
941	26752	1647
942	26777	1618
943	26806	1590
944	26835	1561
945	26860	1533
946	26886	1504
947	26915	1476
948	26944	1448
949	26970	1419
950	26999	1391
951	27032	1363
952	27059	1334
953	27088	1306
954	27113	1277
955	27142	1249
956	27168	1220
957	27196	1192
958	27222	1163
959	27249	1135
960	27275	1106
961	27304	1078
962	27333	1050
963	27364	1021
964	27396	993
965	27433	965
966	27464	937
967	27492	908
968	27519	880
969	27547	851
970	27573	823
971	27599	795
972	27627	766
973	27664	738
974	27690	710
975	27721	681
976	27747	653
977	27780	624
978	27805	596
979	27837	568
980	27866	539
981	27896	511
982	27920	482
983	27948	454
984	27974	426
985	28004	397
986	28031	369
987	28064	340
988	28090	312
989	28116	284
990	28144	255
991	28171	227
992	28201	198
993	28226	170
994	28252	141
995	28282	113
996	28312	85
997	28342	56
998	28369	28
999	28399	0
